Name,Website,Categories,Email
Activision,activision.com,SieveTo_Entertainment,noreply@updates.activision.com
Battle.net,battle.net,SieveTo_Entertainment,noreply@battle.net
Bohemia Interactive,bistudio.com,SieveTo_Entertainment,noreply@bistudio.com
Cineplex,cineplex.com,SieveTo_Entertainment,cineplex@campaigns.cineplex.com
Cineplex,cineplex.com,SieveTo_Entertainment,no-reply-connect@cineplex.com
Cineplex,cineplex.com,SieveTo_Entertainment,onlineticketing@cineplex.com
Crave,crave.ca,SieveTo_Entertainment,do_not_reply@crave.ca
Crave,crave.ca,SieveTo_Entertainment,crave@e.crave.ca
Disney Plus,disneyplus.com,SieveTo_Entertainment,disneyplus@mail.disneyplus.com
Disney Plus,disneyplus.com,SieveTo_Entertainment,disneyplus@mail2.disneyplus.com
EA,ea.com,SieveTo_Entertainment,ea@e.ea.com
Epic Games,epicgames.com,SieveTo_Entertainment,help@accts.epicgames.com
Gaijin,gaijin.net,SieveTo_Entertainment,login@gaijin.net
Glyph,glyph.net,SieveTo_Entertainment,noreply@glyph.net
IMDb,imdb.com,SieveTo_Entertainment,do-not-reply@imdb.com
Intrepid,ashesofcreation.com,SieveTo_Entertainment,noreply@ashesofcreation.com
Mastodon,mastodon.social,SieveTo_Entertainment,notifications@mastodon.social
Netflix,netflix.com,SieveTo_Entertainment,info@account.netflix.com
Netflix,netflix.com,SieveTo_Entertainment,info@mailer.netflix.com
Oculus,oculus.com,SieveTo_Entertainment,do_not_reply@mail.oculus.com
Oculus,oculus.com,SieveTo_Entertainment,support@mail.oculus.com
PlayStation,playstation.com,SieveTo_Entertainment,sony@txn-email03.playstation.com
Prime Video,primevideo.com,SieveTo_Entertainment,no-reply@primevideo.com
Riot,riotgames.com,SieveTo_Entertainment,noreply@mail.accounts.riotgames.com
Rockstar,rockstargames.com,SieveTo_Entertainment,noreply@rockstargames.online
Rockstar,rockstargames.com,SieveTo_Entertainment,noreply@rockstargames.com
Rockstar rockstargames.com,,SieveTo_Entertainment,support@rockstargames.com
Spotify,spotify.com,SieveTo_Entertainment,no-reply@spotify.com
Steam,steampowered.com,SieveTo_Entertainment,noreply@steampowered.com
Supercell,supercell.com,SieveTo_Entertainment,no-reply@news.supercell.com
Supercell,supercell.com,SieveTo_Entertainment,noreply@id.supercell.com
Twitch,twitch.tv,SieveTo_Entertainment,account@twitch.tv
Twitch,twitch.tv,SieveTo_Entertainment,no-reply@twitch.tv
Ubisoft,ubisoft.com,SieveTo_Entertainment,no-reply.account@ubisoft.com
Ubisoft,ubisoft.com,SieveTo_Entertainment,news@updates.ubisoft.com
